Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Конопля,Євген,Зиновійович,Чоловік,05.11.1995,Психолог,село Рудки,"проспект Молодіжна, буд. 039, Алушта, 38884",+380 (36) 106-98-68,bevziefrem@example.org
Іщенко,Тетяна,Олександрівна,Жінка,13.02.1999,М'ясник,хутір Скалат,"парк Станційна 3-тя, буд. 21 кв. 28, Добромиль, 22984",+380 73 984-12-39,sakymenko@example.com
Сірко,Марина,Єлисеївна,Жінка,12.11.1990,Географ,хутір Корець,"шосе Лютнева, буд. 2 кв. 65, Судова Вишня, 45208",+380 69 871 06 63,kovaliukhanna@example.com
Шелест,Софія,Романівна,Жінка,02.09.1994,Гірничий інженер,хутір Деражня,"проспект Бузковий, буд. 11 кв. 19, Вараш, 98550",+380 92 258-51-84,oartiushenko@example.org
Валенко,Вадим,Симонович,Чоловік,25.07.1939,Письменник,місто Борислав,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 7, Синельникове, 92958",+380 (30) 853-22-26,danylolevchenko@example.com
Оніщук,Богдан,Демидович,Чоловік,19.11.2002,Гінеколог,селище Бердянськ,"сквер Лазурний 3-й, буд. 81 кв. 140, Ужгород, 02886",022 479 12 17,uhrechanyk@example.com
Вакарчук,Віолетта,Опанасівна,Жінка,24.07.1998,Модель,селище Гуляйполе,"узвіз Олександра Невського 2-й, буд. 189 кв. 35, Бібрка, 44373",087 706 93 23,vakarchukalevtyn@example.com
Верхола,Венедикт,Васильович,Чоловік,25.03.1961,Скульптор,хутір Рівне,"площа Озерна, буд. 30, Ніжин, 93249",+380 (69) 478-44-75,sdeineka@example.com
Демʼяненко,Олесь,Геннадійович,Чоловік,04.09.1945,Візажист,місто Богодухів,"сквер Дворянська, буд. 078 кв. 0, Пологи , 03125",225-64-56,stefanandriiovych@example.org
Журавель,Ярослав,Амвросійович,Чоловік,23.10.1988,Секретар,селище Новоукраїнка,"узвіз Чорноморський 2-й, буд. 8, Снігурівка, 54147",+380 49 621 63 32,opanasvdovychenko@example.org
Фоменко,Демʼян,Миколайович,Чоловік,28.12.1946,Лікар,село Семенівка,"узвіз Івана Франка, буд. 33 кв. 747, Соледар, 12306",648-68-48,hermanvernyhora@example.org
Венгринович,Ольга,Арсенівна,Жінка,09.08.1967,Підприємець,місто Мелітополь,"парк Поїзна, буд. 6, Олександрія, 39392",008 517 41 80,zvermenych@example.net
Юрчишин,Валентина,Григоріївна,Жінка,27.02.1961,Журналіст,хутір Борислав,"шосе Кифоренка Бориса, буд. 0, Луцьк, 59276",386-92-23,tytarenkoalbert@example.com
Устенко,Данило,Гаврилович,Чоловік,29.10.1962,Перекладач,село Красногорівка,"сквер Достоєвського, буд. 11, Долинська, 82883",200-96-18,kviter@example.org
Непорожній,Лукʼян,Георгійович,Чоловік,12.05.1989,Актор,селище Зеленодольськ,"вулиця Західний 2-й, буд. 9 кв. 420, Буча, 21767",089 215-24-34,adam04@example.net
Зінкевич,Юстина,Павлівна,Жінка,04.08.2004,Провізор,селище Новомосковськ,"площа Тіниста, буд. 45 кв. 655, Галич, 24971",020 777-70-25,omelian99@example.org
Андрієвич,Вікторія,Степанівна,Жінка,22.12.1996,Економіст,селище Молочанськ,"шосе Яружний, буд. 7, Олександрія, 26162",+380 71 065-52-29,viacheslavtsarenko@example.org
Кальченко,Дан,Охрімович,Чоловік,24.12.2000,Адвокат,хутір Городище ,"вулиця Ватманський, буд. 525 кв. 3, Міусинськ, 31209",047 445-32-61,bezditkobohuslava@example.org
Баклан,Леопольд,Васильович,Чоловік,29.07.1989,Єгер,місто Монастириська,"провулок Пестеля, буд. 761 кв. 187, Бахмач, 22930",+380 84 401 49 74,zynovii22@example.org
Устенко,Демид,Геннадійович,Чоловік,22.08.1994,Кінолог,хутір Кіцмань,"провулок Мінська, буд. 209, Балаклія, 71069",039 398 06 61,iashchukfeofan@example.org
Дахно,Леонтій,Єлисейович,Чоловік,03.08.1953,Хореограф,місто Бунге ,"вулиця Семафорний, буд. 794, Алушта, 82146",+380 53 194 17 82,dmytro17@example.com
Корпанюк,Болеслав,Лукʼянович,Чоловік,06.11.1950,Детектив,хутір Старобільськ,"площа Свободи, буд. 6, Новогродівка, 99880",+380 (66) 108-82-21,volodymyrashtepa@example.com
Арсенич,Аліна,Богданівна,Жінка,22.07.1965,Диригент,селище Рівне,"провулок Лінія 30-та, буд. 859 кв. 93, Кропивницький, 54011",563 27 73,edytaisaievych@example.org
Яценюк,Трохим,Миколайович,Чоловік,29.07.1986,Парфюмер,хутір Біляївка,"провулок Селекційний, буд. 07 кв. 78, Моршин, 05349",+380 (86) 449-67-20,qderhach@example.org
Бездітко,Зорян,Несторович,Чоловік,29.10.1977,Будник,селище Петрово-Красносілля,"шосе Аеродромна, буд. 756, Івано-Франківськ, 46742",+380 67 125-97-48,wsavenko@example.net
Приймак,Василина,Мирославівна,Жінка,02.12.1962,Археолог,місто Антрацит ,"сквер Дністровська, буд. 461, Зборів, 23225",168-02-20,pvenhrynovych@example.org
Христич,Лукʼян,Орестович,Чоловік,12.02.1963,Державний службовець,хутір Знам'янка,"сквер Слєпньова, буд. 232, Васильків, 18235",234 35 00,oksanasirobaba@example.net
Титаренко,Святослава,Микитівна,Жінка,09.02.1949,Архітектор,місто Рені,"шосе 5-та Лінія Марії Демченко, буд. 96 кв. 84, Бахмут, 78152",705 61 78,sofiiaumanets@example.org
Дубенко,Богдан,Веніяминович,Чоловік,22.10.1988,Геолог,місто Андрушівка,"парк Перемоги, буд. 97 кв. 97, Кропивницький, 03801",069 498-13-25,barsenych@example.org
Бабиченко,Георгій,Макарович,Чоловік,13.09.1966,Фізик,селище Болград,"вулиця Прохоровська, буд. 60, Армянськ, 84630",+380 47 618-05-82,ysheremet@example.com
Андрійович,Єфрем,Григорійович,Чоловік,02.04.1958,Астроном,хутір Сімферополь,"набережна Сталепрокатна, буд. 46 кв. 20, Оріхів, 50568",+380 00 809-32-98,solomiiavalenko@example.org
Дрозд,Розалія,Демʼянівна,Жінка,31.10.1949,Державний службовець,селище Зугрес,"парк Танкістів, буд. 0 кв. 93, Горохів, 87333",+380 29 842-98-83,nestor13@example.net
Масляк,Варвара,Климентівна,Жінка,02.11.1939,Складальник,селище Переяслав,"проспект Васнецова, буд. 3, Теплодар, 04002",+380 03 324-10-13,viacheslav51@example.org
Ванченко,Ольга,Орестівна,Жінка,12.02.1947,Мінералог,хутір Вишневе ,"проспект Лиманчик 2-й Лінія 1-ша, буд. 40 кв. 768, Вінниця, 69653",+380 19 172-77-11,viktoriiatkachenko@example.com
Єрошенко,Ада,Геннадіївна,Жінка,20.09.2000,Фольклорист,місто Остер ,"шосе 3-тя Лінія Марії Демченко, буд. 380, Радивилів, 02044",615 28 71,andrii39@example.com
Гаврилець,Любов,Остапівна,Жінка,30.05.1943,Локсмайстер,селище Ананьїв,"набережна Кавунова, буд. 3, Довжанськ, 31009",070 446 57 13,tymchukviktoriia@example.net
Власюк,Ярослав,Зорянович,Чоловік,03.07.1983,Хімік,село Вільногірськ,"сквер Вернидуба, буд. 74 кв. 0, Глиняни, 81649",548 67 93,xpavlenko@example.net
Шеремет,Ярема,Мартинович,Чоловік,13.10.1993,Фотограф,хутір Новояворівськ,"проспект Бокаріуса Миколи, буд. 9, Чугуїв, 57331",+380 29 241 39 61,mdziuba@example.com
Бандурка,Петро,Іванович,Чоловік,08.05.1958,Драматург,місто Пустомити,"набережна Стовпова, буд. 47 кв. 0, Чоп, 49009",053 609-76-61,boleslavandriienko@example.com
Шахрай,Климент,Миколайович,Чоловік,13.07.1965,Економіст,місто Шаргород,"проспект Цегельнозаводська, буд. 79 кв. 765, Довжанськ, 22521",035 474 81 12,rozaliiaeibozhenko@example.com
